Issue ID,First Observed,Last Observed,CVE,Vulnerability,Certificate Common Name,Ip address,Ip addresses,Hostname,Port,Destination IP Address,Destination Port,Email,Product name,Product version,Domain,Scheme,Observations,Last Observed,Banner,Data,Source,Url,Explanation,Vulnerability description,Vulnerability publish date,Last Observed,Decay Reason,Observation Details,Observation Count,Average Findings (similar companies),Issue Incidence
f68fb1c9-cae1-5a96-90fc-198b9fc7f612,2025-10-20T04:56:30,2026-03-28T08:53:37,,,,,,,,,,,,,db101.org,,2,2026-03-28T08:53:37,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://ga.db101.org:443/"",""lastSeenAt"":""2026-03-28T08:53:37""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://ga.db101.org/"",""lastSeenAt"":""2026-03-28T08:53:37""}]",2,,2
49fee6d3-8caa-57d0-8663-16c6c4b7186b,2023-06-06T15:47:08,2026-03-28T00:21:02,,,,,,,,,,,,,db101.org,,1,2026-03-28T00:21:02,,,,,,,,,,"[{""evidence"":[""<link rel=\""stylesheet\"" href=\""https://code.jquery.com/ui/1.14.1/themes/base/jquery-ui.css\"">"",""<link rel=\""stylesheet\"" type=\""text/css\"" href=\""https://cdnjs.cloudflare.com/ajax/libs/dropzone/4.3.0/dropzone.css\"">"",""<script src=\""https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js\"">"",""<script type=\""text/javascript\"" src=\""https://ajax.googleapis.com/ajax/libs/webfont/1.6.16/webfont.js\"">""],""initialUrl"":"""",""finalUrl"":""https://dev-vault.db101.org/"",""lastSeenAt"":""2026-03-28T00:21:02""}]",1,,1
fe07eb2b-bba3-55e3-a2da-fb54dad88290,2025-12-20T00:41:42,2026-03-28T00:21:02,,,,,,,,,,,,,db101.org,,1,2026-03-28T00:21:02,,,,,,,,,,"[{""evidence"":[""<link rel=\""stylesheet\"" href=\""https://code.jquery.com/ui/1.14.1/themes/base/jquery-ui.css\"">"",""<link rel=\""stylesheet\"" type=\""text/css\"" href=\""https://cdnjs.cloudflare.com/ajax/libs/dropzone/4.3.0/dropzone.css\"">"",""<script src=\""https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js\"">"",""<script type=\""text/javascript\"" src=\""https://ajax.googleapis.com/ajax/libs/webfont/1.6.16/webfont.js\"">""],""initialUrl"":"""",""finalUrl"":""http://dev-vault.db101.org/"",""lastSeenAt"":""2026-03-28T00:21:02""}]",1,,1
51ffc0e1-7c39-5356-a8c5-3d075f5cf118,2023-06-06T08:07:23,2026-03-27T18:08:36,,,,,,,,,,,,,db101.org,,2,2026-03-27T18:08:36,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://co-es.db101.org:443/"",""lastSeenAt"":""2026-03-27T18:08:36""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://co-es.db101.org/"",""lastSeenAt"":""2026-03-27T18:08:36""}]",2,,2
e61fa275-ddc1-50b4-8aec-c3e7e8159680,2023-06-10T13:45:26,2026-03-27T16:07:23,,,,,,,,,,,,,db101.org,,2,2026-03-27T16:07:23,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://ca-es.db101.org:443/"",""lastSeenAt"":""2026-03-27T16:07:23""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=es\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://ca-es.db101.org/"",""lastSeenAt"":""2026-02-24T05:20:28""}]",2,,2
c864ed47-db9b-5b71-92bb-56105f9528fa,2023-03-22T01:04:49,2026-03-26T21:38:16,,,,,,,,,,,,,db101.org,,2,2026-03-26T21:38:16,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://ak.db101.org/"",""lastSeenAt"":""2026-03-26T21:38:16""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://ak.db101.org:443/"",""lastSeenAt"":""2026-03-26T19:02:02""}]",2,,2
9c63146a-902f-5a4b-a165-e25979a64862,2025-05-08T21:08:22.296,2026-03-25T18:25:17.82,,,,,,,,,,,,,db101.org,,1,2026-03-25T18:25:17.82,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://www.db101.org/"",""lastSeenAt"":""2026-03-25T18:25:17.82""}]",1,,1
f03d6a9d-9cbb-5d69-b95e-b22438de68e7,2023-08-10T01:48:00,2026-03-23T21:57:03,,,,,,,,,,,,,db101.org,,2,2026-03-23T21:57:03,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://mn.db101.org/"",""lastSeenAt"":""2026-03-23T21:57:03""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://mn.db101.org:443/"",""lastSeenAt"":""2026-03-20T18:37:37""}]",2,,2
6664192f-9d4c-5c95-8baf-a01a7b318fb6,2023-07-17T08:55:59,2026-03-23T20:18:52,,,,,,,,,,,,,db101.org,,2,2026-03-23T20:18:52,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-mi.db101.org:443/"",""lastSeenAt"":""2026-03-23T20:18:52""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://preview-mi.db101.org/"",""lastSeenAt"":""2026-02-15T12:02:37""}]",2,,2
764a1f8a-2f0c-563c-acc9-a37558b66666,2023-06-09T06:22:01,2026-03-20T17:39:38,,,,,,,,,,,,,db101.org,,2,2026-03-20T17:39:38,,,,,,,,,,"[{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://ky.db101.org:443/"",""lastSeenAt"":""2026-03-20T17:39:38""},{""evidence"":[""<script src=\""https://www.google.com/recaptcha/api.js?onload=rcOnLoad&amp;render=explicit&amp;hl=en\"" async=\""\"" defer=\""\"">""],""initialUrl"":"""",""finalUrl"":""https://ky.db101.org/"",""lastSeenAt"":""2026-03-20T17:39:38""}]",2,,2
b9a9c86b-9d81-51c3-a29e-87e5873517eb,2026-03-18T05:54:44,2026-03-18T05:54:44,,,,,,,,,,,,,db101.org,,1,2026-03-18T05:54:44,,,,,,,,,,"[{""evidence"":[""<link rel=\""stylesheet\"" href=\""https://code.jquery.com/ui/1.14.1/themes/base/jquery-ui.css\"">"",""<link rel=\""stylesheet\"" type=\""text/css\"" href=\""https://cdnjs.cloudflare.com/ajax/libs/dropzone/4.3.0/dropzone.css\"">"",""<script src=\""https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js\"">"",""<script type=\""text/javascript\"" src=\""https://ajax.googleapis.com/ajax/libs/webfont/1.6.16/webfont.js\"">""],""initialUrl"":"""",""finalUrl"":""https://staging-vault.db101.org/"",""lastSeenAt"":""2026-03-18T05:54:44""}]",1,,1
